cotacaoCompra,cotacaoVenda,dataHoraCotacao
5.5708,5.5714,2020-09-24 13:07:27.204
5.5661,5.5667,2020-09-25 13:09:42.279
5.5852,5.5858,2020-09-28 13:11:02.032
5.6521,5.6528,2020-09-29 13:09:39.687
5.6401,5.6407,2020-09-30 13:06:22.367
5.6435,5.6441,2020-10-01 13:05:08.462
5.6458,5.6464,2020-10-02 13:05:45.109
5.6293,5.6299,2020-10-05 13:09:39.902
5.5199,5.5205,2020-10-06 13:04:38.484
5.6012,5.6018,2020-10-07 13:04:21.610
5.6194,5.62,2020-10-08 13:08:20.208
5.5387,5.5393,2020-10-09 13:10:18.779
5.5854,5.5859,2020-10-13 13:08:38.848
5.5669,5.5675,2020-10-14 13:05:44.348
5.6166,5.6172,2020-10-15 13:04:30.297
5.622,5.6226,2020-10-16 13:04:22.018
5.6017,5.6023,2020-10-19 13:10:55.868
5.5824,5.583,2020-10-20 13:05:12.925
5.6,5.6006,2020-10-21 13:05:00.787
5.5814,5.582,2020-10-22 13:11:47.821
5.6114,5.612,2020-10-23 13:10:44.675
5.6322,5.6328,2020-10-26 13:03:19.882
5.6484,5.6491,2020-10-27 13:06:36.928
5.7319,5.7325,2020-10-28 13:03:30.304
5.7797,5.7803,2020-10-29 13:03:31.816
5.7712,5.7718,2020-10-30 13:08:24.661
5.6889,5.6895,2020-11-03 13:08:25.399
5.6926,5.6932,2020-11-04 13:13:38.246
5.5618,5.5624,2020-11-05 13:09:31.961
5.5307,5.5313,2020-11-06 13:07:44.214
5.2815,5.2821,2020-11-09 13:08:15.768
5.369,5.3696,2020-11-10 13:02:36.057
5.4014,5.402,2020-11-11 13:04:31.235
5.4088,5.4094,2020-11-12 13:07:25.979
5.4848,5.4854,2020-11-13 13:04:35.653
5.4192,5.4198,2020-11-16 13:11:21.917
5.3962,5.3968,2020-11-17 13:04:24.262
5.2926,5.2932,2020-11-18 13:02:46.462
5.3324,5.333,2020-11-19 13:10:57.643
5.3499,5.3505,2020-11-20 13:04:31.497
5.3822,5.3828,2020-11-23 13:03:25.810
5.4031,5.4037,2020-11-24 13:03:31.104
5.3502,5.3508,2020-11-25 13:09:44.227
5.3195,5.3201,2020-11-26 13:09:53.469
5.3488,5.3494,2020-11-27 13:04:23.917
5.3311,5.3317,2020-11-30 13:07:46.135
5.2783,5.2789,2020-12-01 13:07:29.851
5.2261,5.2267,2020-12-02 13:04:28.436
5.1619,5.1625,2020-12-03 13:05:32.922
5.17,5.1706,2020-12-04 13:05:12.458
5.1012,5.1018,2020-12-07 13:11:49.830
5.0914,5.092,2020-12-08 13:07:00.766
5.1103,5.1109,2020-12-09 13:10:25.198
5.0846,5.0852,2020-12-10 13:04:02.432
5.0685,5.0691,2020-12-11 13:09:43.711
5.0572,5.0578,2020-12-14 13:10:24.874
5.0962,5.0968,2020-12-15 13:07:49.009
5.1051,5.1057,2020-12-16 13:09:38.167
5.0606,5.0612,2020-12-17 13:09:33.728
5.098,5.0986,2020-12-18 13:11:24.831
5.1566,5.1572,2020-12-21 13:09:51.624
5.1467,5.1473,2020-12-22 13:09:47.694
5.1734,5.174,2020-12-23 13:07:33.284
5.1785,5.18,2020-12-24 11:05:27.743
5.2384,5.239,2020-12-28 13:12:02.307
5.1936,5.1942,2020-12-29 13:06:41.328
5.1961,5.1967,2020-12-30 13:09:38.491
5.1961,5.1967,2020-12-31 10:03:48.429
